playlist_id,track_ids
10024884,3156505 1469927 3063256 848214 60264
10624787,194963 2319873 4924281 497324 1818963
4891851,557629 4735764 2526786 2940539 1809338
4267369,1154985 3137640 139177 1942809 3658983
65078,509377 119305 2863566 1742595 2386315
10637124,346386 2340644 2123901 2740526 1633063
3223162,153334 1820710 498087 1438727 2874676
7541503,1295068 76828 3738541 2456972 2086779
6189367,2019507 1054050 1195554 3051311 3869194
8459943,3536664 1003537 2485522 3129861 826298
10138804,1388061 2744692 1229845 468510 2515331
10562075,3708968 683230 1212246 3593525 1881344
10184821,3194368 1253640 2426923 2513863 819539
4189678,1175499 511452 2944080 253512 1796061
6299524,1744414 3464297 887493 2932680 3056586
8515028,1464766 247759 2811494 3884381 579602
10631638,1955332 229042 1103473 84222 1828654
10947423,1977730 134529 3332221 2730469 2371612
11295404,830634 1163927 2991078 166429 3150033
3884714,3889627 2516311 130965 641566 1251918
10680851,1563133 3044529 3098639 1249391 509003
3228268,193666 3870306 1678109 1301377 2976640
7850055,3502189 3716483 1479795 950776 3697197
10864017,3888870 2710093 3076244 2220019 3842993
5660760,2277502 2856374 727914 632293 495072
4157419,722020 2719191 2628118 1293892 2178283
3304833,641607 2693619 673880 1130644 648467
1911645,2110926 3470420 3554610 3569315 1736009
4902536,2467218 3581227 2160491 1216683 2028674
1140304,12933 1620771 2902983 1993929 528692
4310448,3554835 3118873 3429744 3495634 1726222
4874293,1433172 1972353 331990 2902589 353219
7541314,3615419 87269 1804264 792090 1885435
8910289,2367829 2960984 2227211 1146399 676813
11761351,3796709 2528539 1157973 2950553 1102424
6611489,2739985 3175815 674874 1469981 1598426
5431593,297295 3530888 1652752 1539756 2392241
7772264,2092128 1604869 2866268 1399075 619754
5615774,1445150 3026954 1644642 3011493 3581440
7698427,1324356 1571019 904368 3170415 320204
5903309,225685 1731672 1070374 482126 2539056
10032246,1209718 2418345 853428 1332688 3291197
6718882,495591 166563 2697591 3888448 2872954
1072577,3851441 2984182 1954811 3387069 1215150
5047826,2958861 2553913 3579876 3875971 1247131
5241540,2903012 2259255 434654 853242 3824348
11056046,2279531 564232 3092997 3472311 2787271
713681,1365158 3490909 2428859 847836 2861386
10350609,1786638 3026916 809205 1266192 2640116
7542080,2032111 1754625 2467259 1520363 433476
7127454,3495634 1752265 2587730 1258320 1421021
11192507,3674169 640420 463103 1185658 2557661
11065937,3043853 2242813 1102479 2274822 647869
4743330,690996 2339664 2576948 1105909 2314172
221395,856487 3441304 3060540 500747 1087946
10985037,2057821 2804134 2536494 2673811 1517145
3755267,3579075 535537 795635 193148 816071
7440845,3522470 696980 879677 1576379 44843
8426989,2303285 653104 682246 2623449 2952274
82847,2148005 1508955 3773736 3211837 632321
5963503,271083 404600 4495924 1028579 2332068
7809227,241178 2209659 639528 1187777 1101463
6544963,1586806 3885344 1039188 1134100 1580835
10178374,2194761 2116849 424351 1844123 2289890
472200,2787326 3218340 1356069 3512367 1632162
10688607,3406681 284224 2821432 1890832 3022899
7541732,2998055 2209785 3760461 1675093 2994856
6751827,1345084 2071754 723871 548342 194399
4192208,2363674 193488 47625 3382677 254368
8830133,3677199 1718295 1809496 1352637 2371910
11635785,1402833 3579401 1327024 1823040 284352
4526137,1563117 941372 2952274 1913997 2741647
970740,3663970 56844 527767 324040 2217821
5879343,1464766 3419174 678398 726836 3246927
5742191,2779560 43833 3463789 2263856 2860359
10356493,2053649 285970 2129593 2083593 1197126
10061153,1756002 1797896 3098733 695011 2066669
7096673,3169253 2217793 170179 804827 2736905
6890734,2586665 1905901 1464716 811166 2423683
4923978,882348 3481218 1340687 1321391 3237374
3560810,879477 2281697 3355205 686275 2042142
6646811,3249349 2222233 2408375 1530795 2784188
3827542,1871551 2849563 3481586 1840892 1999162
3745410,2266560 3644194 2510552 2935090 1648865
3092546,3512367 1632162 3218340 2787326 1725845
4160606,2102029 2396563 3780064 316016 279350
7839970,1364889 3552555 823441 1229423 429746
4904789,685311 3723958 1408640 4531932 3251554
7192530,1867366 482539 2091823 3098624 2987489
108413,947737 1475166 204778 619708 2430427
10470643,2213883 1905747 1977847 3218304 3813493
6701679,3356786 1715225 1749803 3584912 65156
4472293,859492 2204499 2158727 199789 4478469
