playlist_id,track_ids
10024884,435345 2228906 4901745 3361580 56944
10624787,3779369 3222075 2016284 1036701 381424
4891851,1406862 2089117 1854954 205321 1920003
4267369,1689809 2429704 4845182 1685668 3658983
65078,2317663 2913000 176904 2034628 2863566
10637124,346386 2340644 2123901 1205349 1675097
3223162,1254269 1820710 153334 1083643 905863
7541503,661053 2086779 3697155 2784188 3522653
6189367,2019507 1054050 3051311 1195554 1690478
8459943,1654875 3536664 2485522 1003537 2752335
10138804,1599699 42805 3427808 2759947 394838
10562075,1234132 1308886 2868112 2909202 52496
10184821,3777248 3194368 2607849 1641496 611225
4189678,1067122 2942222 1796061 161853 3360104
6299524,3794036 1074579 731534 2234834 2730916
8515028,3884381 2403710 1464766 1782672 2711207
10631638,415635 1828654 1322006 562427 2034685
10947423,3191588 2153830 2730469 3332221 1402792
11295404,1710708 167387 830634 1767092 1495430
3884714,130965 2288790 2846240 3828097 3889627
10680851,495027 1563133 3056917 2695959 2286011
3228268,3554713 3173841 680666 1723907 2273954
7850055,950776 2017150 201982 1073547 722153
10864017,3410173 1730098 2303888 2710093 3076244
5660760,2367839 875597 2937064 202544 2856374
4157419,722020 2293484 1602404 3870459 2087959
3304833,1280489 1432964 673880 1130644 650011
1911645,3470420 3872219 2783880 911131 2110926
4902536,3103440 710597 2612546 2467218 2160491
1140304,345153 2097871 1620771 1342462 452096
4310448,2522563 1775663 3746303 3529884 992075
4874293,892567 1254297 2299537 2902589 353219
7541314,2883718 3754397 3722906 1713689 3844848
8910289,3798368 3867185 3030971 3518122 2940533
11761351,1154985 1277654 1873326 4845182 2575850
6611489,465546 3249056 2115585 3168725 1199936
5431593,297295 1455908 726383 482539 3107449
7772264,2092128 2780245 1604869 1197994 625939
5615774,3026954 3581440 1445150 3011493 3186611
7698427,3892882 626056 2304044 3678231 4495574
5903309,859387 3703609 2379993 1438938 641541
10032246,3251688 459618 3156489 3771551 2390926
6718882,2328411 3700786 495591 166563 3387155
1072577,792533 2581177 2931250 818183 1916314
5047826,3579876 3875971 1517163 3625108 661656
