playlist_id,track_ids
10024884,187130 3363381 2487755 2553179 1637241
10624787,475363 194963 1546826 3779369 1980691
4891851,1406862 2621486 74403 1371741 205321
4267369,1371741 1068339 2429704 106902 3113091
65078,2913000 2215617 119305 1742595 2317663
10637124,1120194 2123901 2340644 3493371 273502
3223162,1818334 1916922 1895135 1117784 221825
7541503,564227 2740901 2819938 3622054 2095959
6189367,1711336 1195554 1054050 2019507 495158
8459943,3295318 3139845 939554 2821213 1654875
10138804,1611438 1644638 3711077 1887656 3829453
10562075,702464 1758180 2909202 52496 1234132
10184821,611225 715003 2805537 3251795 377629
4189678,161853 1796061 2181022 2728188 1011111
6299524,403335 1692721 3688734 2969236 1527961
8515028,2501973 1464766 344716 1767226 910732
10631638,3647331 2496468 561644 2838124 1646238
10947423,134529 1419110 1482798 2009541 1977730
11295404,1495430 1367905 2083830 258834 88403
3884714,3772001 1251918 641566 3889627 2288790
10680851,1682875 683230 2695959 3056917 495027
3228268,680666 1723907 3173841 3554713 2827998
7850055,3559283 1492471 1206974 933471 2191974
10864017,5451 1463452 4752 1298667 2225477
5660760,875597 2367839 202544 2937064 1325599
4157419,2265530 868728 2293484 3534170 1532492
3304833,2423405 2929285 2409997 1432964 1130644
1911645,375980 1498469 2812691 3075374 644831
4902536,2467218 2160491 193133 1216683 3581227
1140304,2097871 528692 452096 1342462 1121990
4310448,166355 992075 1559502 1070212 1133417
4874293,3321806 1040171 111413 548902 892567
7541314,87269 1796316 1804264 3722906 3754397
8910289,661656 1521556 498600 3798368 3030971
11761351,3139062 2805481 2593261 1277654 1154985
6611489,3249056 2495868 1307606 1122222 3870658
5431593,3036412 3530888 2481235 1539756 1652752
7772264,625939 619754 2866268 625811 1604869
5615774,3011493 52750 3581440 3681735 3026954
7698427,1234333 1914960 1364929 1070526 397585
5903309,482126 831263 3735801 641541 225685
10032246,3299879 2913000 2586512 459618 3156489
6718882,340906 166563 3674267 2328411 1739023
1072577,2021136 2905576 2581177 2677093 1110630
5047826,1227320 1375351 730919 2720015 248377
5241540,3669481 2800338 3579080 2274340 2950841
11056046,3755830 329990 1600595 1177937 167785
713681,840477 2129668 2606546 1619997 3859798
10350609,1486319 1280493 661277 1786638 657214
7542080,3051901 315992 1832679 2229472 665727
7127454,3056586 2913351 1234053 1100123 2690160
11192507,3139288 706475 396488 2765587 2012945
11065937,2108206 3389959 2876 892763 3808909
4743330,2914465 2144331 2426824 2618236 324385
221395,3593816 418367 2083310 2786495 1874467
10985037,443489 2303979 3299676 2476412 2965963
3755267,1987472 3067225 1297460 1255934 3579075
7440845,3405 2146580 2123623 14013 802019
8426989,2218955 1053894 2836273 2074008 727834
82847,4511252 593419 2440263 2712695 970234
5963503,3450608 131589 324315 93827 634081
7809227,3629307 371905 241178 647928 3580343
6544963,3465433 1846939 820908 2877650 2579078
10178374,2791264 1844123 424351 2116849 2194761
472200,3081026 525456 243683 1707918 1871417
10688607,1737850 2895021 2171852 1809419 2077831
7541732,1624216 2209785 2994856 2181022 715087
6751827,2161454 3529493 2519755 2319910 1805887
4192208,1363567 311640 254368 1105778 925800
8830133,3570703 2110739 1718295 1708008 3096118
11635785,89221 109392 2285795 3210343 260212
4526137,3226020 206463 3210343 2032838 3735909
970740,1194153 2250518 1462020 305498 2684424
5879343,621684 426914 926026 678398 3633836
5742191,3357942 1343654 4878471 3677227 2843232
10356493,1626138 1516108 3328826 1857171 3861292
10061153,225486 1422964 1756002 3603373 3711451
7096673,2175297 2755805 1678253 2789820 1011090
6890734,2413736 811166 1464716 1905901 1675995
4923978,1929122 3379007 1409839 1251879 944666
3560810,1723907 680666 724607 2361778 2949470
6646811,154829 1221213 135600 830195 357664
3827542,3137382 999638 2340592 1957057 2816695
