playlist_id,track_ids
10024884,161455 1321053 3705881 2730084 634184
10624787,844976 1935624 2737363 3219522 2955768
4891851,3414324 170416 2238571 4506371 2621486
4267369,3846669 497483 1286763 2902714 363983
65078,1589081 1205349 2923115 2586512 2863395
10637124,1997354 131052 1127506 1206974 3358237
3223162,2547173 3542444 1074579 3789763 3705881
7541503,1381678 3166665 1210884 3828446 1735747
6189367,1210884 3166665 1691152 1156143 276186
8459943,3114611 2724365 1563309 368848 306786
10138804,3866159 2642636 1599699 697894 1070303
10562075,1570728 92596 3522653 1947861 60163
10184821,2588994 950730 4474831 672126 1363985
4189678,612601 3638206 2821505 3866410 2863395
6299524,731534 3705881 1074579 329422 3794036
8515028,941031 2752748 2288866 2530271 3004728
10631638,693472 1673164 485591 1823408 315524
10947423,4531125 248396 490893 518570 2740759
11295404,3796108 1205292 184737 1495432 363983
3884714,1251918 3791664 109392 2609171 1341006
10680851,2497393 157531 709985 3066710 465185
3228268,1969864 2787866 1896558 3197875 209196
7850055,501926 1997354 3358237 1127506 1206974
10864017,1862517 1390500 2158999 2547173 1595978
5660760,2110917 3862221 4733003 1580480 1321053
4157419,1580480 2498280 1417772 3048820 2855889
3304833,1432964 3202623 509091 1402419 2983779
1911645,2651669 2190582 1558542 1193299 3752712
4902536,193719 2160491 2612546 2028674 3103440
1140304,93949 2020962 3605806 2717004 3711392
4310448,648545 2419222 2367829 2173595 1075325
4874293,2398985 611551 1286763 2667736 2615532
7541314,1488457 3477473 87269 3844848 2257861
8910289,1181285 2226095 2942250 3030971 2367829
11761351,1558542 2651669 2655526 1193299 2032052
6611489,1122222 957448 3131921 2877394 2941119
5431593,3542379 183353 2967714 2981369 1563309
7772264,204966 2866268 1775656 1887389 276186
5615774,1767589 2454754 52750 3581440 3681735
7698427,497483 3464076 2902714 726853 3846669
5903309,1423808 167771 1106994 1685676 515420
10032246,204966 3705881 1563309 2586512 2863395
6718882,3674267 2697591 204966 1321053 2840855
1072577,3242142 2840855 1580480 3166665 204966
5047826,1227320 852849 3796108 1595978 2863395
5241540,2453761 3688744 22550 2840855 1321053
11056046,1024893 1204822 2263840 1177937 1605486
713681,4733003 183353 2981369 1705891 1563309
10350609,2805494 1486319 1705891 443469 2679918
7542080,2802472 1242291 315992 879546 3051901
7127454,1156143 1580480 3862221 87843 3166665
11192507,3168292 3082901 1311435 184202 1363985
