playlist_id,track_ids
10024884,445531 3578659 3361580 518923 947739
10624787,1569671 2581313 410521 2694253 2697007
4891851,4506371 1406862 1371741 557629 1809338
4267369,2023130 290643 1069551 525796 1199919
65078,338563 1257297 443309 261409 2985809
10637124,273502 1441735 2340644 2970806 2127454
3223162,3302422 2780242 2015382 2071740 676334
7541503,1897135 1260556 3622054 2095959 2740901
6189367,3011927 583436 500882 950578 1920328
8459943,2783309 2493755 2386001 723025 657214
10138804,1935536 3102164 137945 1139169 4700754
10562075,667186 2403986 2919883 647924 2807614
10184821,377629 2160484 170797 1709010 1104101
4189678,3871987 443309 2985809 888491 811425
6299524,1571528 2186089 2587675 3846663 2234183
8515028,1139169 1935536 137945 3102164 1444202
10631638,2838124 3647331 3194405 1441735 1382572
10947423,3726795 1170541 641766 386140 3664926
11295404,1549549 3290069 1232608 3112841 1253665
3884714,2683110 2756830 477433 2133353 1935656
10680851,709985 3056917 3349944 1337300 465185
3228268,724607 404161 3356950 623384 457576
7850055,3426348 1626517 3032011 3165488 2246999
10864017,1932872 1518083 2354430 683614 3559063
5660760,1269244 2276032 2596141 2907515 497003
4157419,1120425 1852291 2719191 2269445 2178283
3304833,206750 1944997 2983779 474986 3610919
1911645,1257888 3075985 3872219 911131 2812691
4902536,3794784 710597 2519396 1216683 2160491
1140304,3533742 258655 1461025 2717004 2627543
4310448,500882 2422331 583436 2234996 2816088
4874293,2902912 1751699 1179816 1873264 2752761
7541314,1488457 3523500 2765634 3754397 3057834
8910289,3798368 3030971 1521556 1535606 648545
11761351,687277 1603659 3435935 2460488 361723
6611489,1122222 2115585 3131921 191285 3870658
5431593,2881408 1862402 2783309 3278282 2823714
7772264,1625298 2579946 257969 1920328 3445040
5615774,3581440 3681735 3026954 1644642 3011493
7698427,1764811 133074 88454 1088938 1732579
5903309,515420 3065019 2556963 505941 2379993
10032246,134422 1356579 184181 852760 2837178
6718882,2747322 1670773 3674267 166563 1910438
1072577,2271077 1920328 2521312 500882 2234996
5047826,3621721 651907 2988789 82162 2864612
5241540,1292966 500882 950578 2498203 443166
11056046,2263840 1177937 1375280 1600595 329990
713681,2842112 2741679 2955721 2234183 1726251
10350609,1280493 1486319 2679918 3276766 661277
7542080,1844195 1169795 3051901 1832679 315992
7127454,1553958 3445040 1935621 1464684 2078799
11192507,2009513 154235 1311435 184202 3140661
11065937,1589484 2505515 914721 2970806 2121348
4743330,3241434 685757 2218642 2104488 3169704
221395,2178283 2406767 1715040 1290101 2719191
10985037,1411489 87417 3477524 3330056 527764
3755267,621873 3335773 3367850 1224491 309933
7440845,2280665 2308112 424351 2087007 3518203
8426989,954580 3610919 2843492 3124880 2012375
82847,2071408 2127454 1768574 3515869 1053213
5963503,4864222 1373125 3451626 2242798 677064
7809227,2216740 2247170 196066 1206070 3844129
6544963,426884 2270106 2168844 3013929 2768037
10178374,2762406 3518203 2833181 845108 444435
472200,3016065 3081026 243683 1707918 2787326
10688607,500882 2610451 1275279 1495398 2521312
7541732,2789896 900527 3671696 729625 1116907
6751827,722514 722033 2732359 2246278 1406338
4192208,2234996 583436 3445040 400150 1847882
8830133,2819549 2371910 853822 857649 73142
11635785,3715163 1510424 2748995 2985809 2499953
4526137,2817847 496847 3646644 1972975 1549549
970740,3112841 92170 2794462 3844129 3425634
5879343,1210944 3342838 2789819 194597 2599875
5742191,1508387 3256885 2173665 3856321 1595817
10356493,3861292 2763387 3328826 2308873 497003
10061153,1093337 3581609 1879900 3711451 1522252
7096673,2610451 170179 1197647 355175 1801352
6890734,3590946 844343 1805049 289133 387933
4923978,1251879 3291100 2043266 3302986 2792321
3560810,2741679 2234183 2842112 2955721 1726251
6646811,154829 915407 2973297 3697155 2127080
3827542,2227358 2788426 2354430 3056900 1210944
3745410,278303 3518107 1567858 1010486 1911469
3092546,3076342 1080646 1030808 1108190 3506962
4160606,2638701 142516 3861027 1881562 1606357
7839970,483364 2286953 878417 2276032 1437351
4904789,1928325 942406 1681655 1110511 230528
7192530,2646188 3117937 1523808 104018 2285149
108413,1111810 3362185 2967307 3752887 2734974
10470643,1852291 2543799 2302277 3340752 1201194
6701679,1910438 2671911 297143 4460828 3461293
4472293,3831521 1692290 160211 1607590 1784052
1366641,2756086 2078374 2828659 205651 3677223
4107298,2952287 2207920 3102273 911279 1388798
8942905,3290948 1373267 4737039 2683131 2610451
7947658,324120 692116 2421581 1173126 820502
8154951,2628153 3346647 462773 2443985 2746873
816773,2556963 2907515 2610451 2276032 2305775
1322559,1364330 2784005 3406706 2309023 3032397
3706908,2610852 1735706 1104026 245683 724681
3874174,1739003 2039441 2838756 2423225 1929011
4059069,3705881 1074579 2730916 2534480 731534
11513495,3705257 3769277 950578 1770805 2565174
3986647,1030808 3323012 3081026 3423617 2622289
8764313,180962 2478865 2289355 3235998 1518083
2971209,2967307 2754843 1298051 1253665 2499953
6014433,406822 1750013 15131 950578 1126835
5595040,2125842 1861489 3236338 2134698 1607588
8603774,3456412 1044960 3646644 2967307 2499953
7873897,2491457 2954174 2103180 287201 2295002
2432287,2708533 2248135 3628954 3484505 426521
5233602,42805 2642636 1767226 3102164 1139169
8486347,2741679 2955721 2842112 1726251 1174062
4703236,1883488 3236116 683433 2448544 2491515
4597972,73150 223133 61653 1905089 1076800
4242707,1325088 2455162 1571867 1291778 2438351
3126872,14689 3017596 2781973 670593 234528
8150977,106417 2146015 2834368 157831 2306694
4671336,1762867 3161482 3555352 2325124 2464206
10978418,2186089 2587675 1571528 448891 2834332
5929816,1253665 1549549 3290069 1613960 3752887
7417487,2933818 3642798 3574295 2602703 1762406
8591052,3494137 297143 2671911 2788577 1205285
5465206,466905 1227621 3000499 1049560 2548132
8304869,2208614 685928 446204 497498 344000
4122340,3413259 2398985 2455162 1708497 900681
6447596,302729 1987349 287879 2564331 491404
10836215,3406706 3032397 2741789 1742602 159953
3719936,263046 1118542 518923 2271077 2185391
2065623,21156 2820062 3032011 3426348 2364657
8249664,2180906 3301687 3385391 2016146 315984
11139177,160398 266958 2690157 2042335 3102241
5598423,107440 3833266 575691 2364508 2490589
10985259,1423645 807395 1349405 2816975 644382
7610669,3731326 3265843 3016521 1227698 1224491
3242168,2610451 2422331 500882 641799 259335
5448425,1088946 3324655 87391 3763363 234212
4926159,137758 1901501 2522563 2515431 1533654
10134627,1299019 1200959 3700757 1710162 2115570
1760933,2954564 2594662 2895494 357046 3003456
620237,691604 3139254 2353030 1288617 229033
