# playlist_id,track_ids
10024884,445531 3578659 3361580 518923 947739
10624787,1569671 410521 2581313 1621378 2694253
4891851,1371741 1406862 1809338 677456 2089117
4267369,290643 2023130 525796 1069551 1199919
65078,338563 1257297 443309 261409 2985809
10637124,1441735 2340644 2970806 1464774 2127454
3223162,3302422 2780242 2015382 676334 2375131
7541503,1897135 3622054 2095959 2819938 564227
6189367,3011927 2234996 500882 950578 1920328
8459943,723025 2493755 657214 2386001 2783309
10138804,1935536 3102164 137945 1139169 4700754
10562075,667186 2403986 647924 2717071 2173606
10184821,377629 170797 2160484 1709010 3777248
4189678,3871987 443309 2985809 888491 811425
6299524,1571528 2186089 2587675 3846663 1726251
8515028,1139169 1935536 3102164 137945 1444202
10631638,2838124 3647331 3194405 172121 1382572
10947423,1170541 3726795 641766 386140 2133874
11295404,3290069 1549549 1232608 3112841 1253665
3884714,2756830 477433 2683110 1527919 1846977
10680851,3056917 3349944 1337300 1790404 878334
3228268,404161 680666 457576 3356950 623384
7850055,3426348 3032011 3165488 143307 2246999
10864017,683614 1518083 2354430 2788426 530573
5660760,2907515 2308873 1269244 453359 2305775
4157419,1120425 1852291 2719191 2178283 2269445
3304833,206750 1944997 3102277 3610919 2422947
1911645,3872219 911131 2009386 1300825 3000651
4902536,710597 2160491 1216683 2467218 3581227
1140304,3533742 258655 1461025 2627543 433616
4310448,500882 2422331 2234996 583436 2610451
4874293,1751699 1179816 2752761 1873264 3075378
7541314,3523500 2765634 3057834 3291100 3658800
8910289,3030971 503853 2139880 1535606 992075
11761351,2460488 3435935 882278 1603659 687277
6611489,3614295 2115585 191285 3870658 3249056
5431593,2881408 1862402 2783309 2147991 2823714
7772264,2579946 1920328 1625298 257969 3445040
5615774,3026954 3011493 1644642 1445150 1039120
7698427,133074 1764811 2805584 2732359 88454
5903309,2379993 3735801 641541 2539056 414277
10032246,134422 3749947 852760 1152201 1356579
6718882,166563 4460828 1910438 3461293 1445156
1072577,2271077 1920328 500882 2521312 2234996
5047826,3621721 2988789 651907 1299791 2864612
5241540,1292966 950578 500882 2498203 2780242
11056046,1177937 1600595 1375280 167785 1204822
713681,2842112 2741679 1726251 2008454 2009228
10350609,1486319 1280493 3276766 661277 2679918
7542080,3051901 1832679 315992 159945 3006587
7127454,3445040 1553958 3117143 2078799 3406706
11192507,154235 2009513 1311435 4661775 3140661
11065937,2121348 914721 3098915 2505515 1589484
4743330,2218642 1897414 3169704 2104488 1944096
221395,2406767 2178283 1290101 2236425 2719191
10985037,87417 3477524 3330056 527764 1596943
3755267,621873 3450097 3291169 2083565 3655574
7440845,2308112 2619689 2087007 2319753 3518203
