playlist_id,track_ids
10024884,445531 1979375 320980 2213787 676334
10624787,1569671 2581313 2108411 3280856 1705891
4891851,1406862 1371741 2089117 1809338 166570
4267369,2575850 2919129 3214480 2023130 1199919
65078,3779484 2225630 3341178 3138311 1811999
10637124,2340644 2191974 4803705 933471 1492471
3223162,2160627 1350353 2833703 1368045 3302422
7541503,3622054 2095959 2086779 661053 2310690
6189367,1711336 1675280 2422331 2610451 950578
8459943,1522745 2654844 1955849 3139845 1598303
10138804,1935536 137945 3102164 1139169 1935201
10562075,2403986 2371834 2560279 567903 667186
10184821,1217213 2950401 106861 377629 3777248
4189678,443309 3871987 2475743 1826701 322252
6299524,1692721 3688734 52712 2673742 2969236
8515028,3203856 1935536 137945 3102164 1139169
10631638,3647331 2838124 2496468 2931442 561644
10947423,1170541 3726795 65388 1702828 641766
11295404,2888380 2834796 113076 710682 3215588
3884714,2756830 477433 2683110 3464055 1827368
10680851,3056917 3349944 1337300 1790404 878334
3228268,209196 457576 3173841 303600 683512
7850055,1073547 933471 1127506 4803705 3559283
10864017,2276032 3410173 2610451 1350353 2833703
5660760,3803696 2305233 3540066 3284443 3626793
4157419,2898395 273247 3256885 2719191 2178283
3304833,1130644 2422947 3000474 206750 1944997
1911645,3872219 911131 2009386 1300825 3000651
4902536,710597 2160491 2467218 1216683 3581227
1140304,3533742 433616 258655 2627543 1461025
4310448,3445040 1920328 2610451 2422331 2234996
4874293,1948917 892567 1751699 2758910 2261427
7541314,3754397 903985 1796316 1804264 3477473
8910289,3030971 3794782 992075 1517235 648545
11761351,361723 1603659 687277 882278 2460488
6611489,3870658 2941119 1307606 2495868 1492626
5431593,676462 3360114 2981487 2498293 1532611
7772264,443369 3236391 284204 1604869 339808
5615774,3026954 1644642 3011493 1445150 1039120
7698427,133074 3550081 2732359 2051421 1569466
5903309,3735801 2379993 641541 414277 482126
10032246,459618 3156489 2586512 2333132 856893
6718882,166563 2872954 3888448 1673367 1578672
1072577,950578 2610451 2422331 3445040 583436
5047826,3193037 3221375 3664167 2237810 2900351
5241540,1920328 950578 3445040 2422331 2610451
11056046,1600595 1177937 1375280 167785 1204822
713681,1174062 2842112 1726251 2234183 2741679
10350609,1486319 2679918 661277 1280493 2236539
7542080,1832679 3051901 315992 2878179 159945
7127454,1292966 2610451 950578 3445040 94083
11192507,1185658 3140661 904765 3854381 3089424
11065937,1685689 3236338 1039343 2369055 1434776
4743330,3169704 1897414 2218642 2565783 376214
221395,2178283 2719191 2406767 3589186 1290101
10985037,87417 3477524 3330056 2536494 1102165
3755267,3291169 3731326 621873 593531 3655574
7440845,2308112 2087007 444435 2833181 3518203
8426989,474986 2422947 858614 1944997 206750
82847,2127454 1464774 2970806 1691362 1978054
5963503,4864222 271083 1747718 647742 1929018
7809227,2216740 950945 45234 1206070 3844129
6544963,2270106 426884 3013929 1495344 2168844
10178374,3518203 424351 513821 444435 2350576
472200,243683 3081026 2787326 3218340 1356069
10688607,858919 1545405 2816088 2683131 1291193
7541732,2160453 1791267 2679688 2772236 3500410
6751827,448490 1406338 2319910 2519755 722033
4192208,2009575 1742602 2309023 2784005 2610451
8830133,857649 2371910 853822 500901 3644393
11635785,2285795 335100 1366726 2335551 2244459
4526137,1972975 3646644 2817847 496847 295198
970740,676424 2257567 3661790 180451 2840867
5879343,2789819 2608358 2730896 1210944 1097807
5742191,3256885 1595817 3667316 1508387 2898395
10356493,1269244 221825 3328826 852845 3532357
10061153,3711451 2358239 1879900 104993 3196286
7096673,1373142 647072 3534168 950578 2610451
6890734,3590946 2124019 3518195 376393 1363526
4923978,3379007 1409839 1251879 2043266 2456334
3560810,2741679 2008454 2234183 2009228 2842112
6646811,915407 2973297 2127080 1735747 357664
3827542,3550123 2289355 2647521 1508816 1999843
3745410,2145322 3798638 1911469 340909 2173297
3092546,1030808 3076342 3512367 2256906 1108190
4160606,189446 2765587 2012945 352341 2554797
7839970,646455 3147426 109213 195273 288039
4904789,498709 1475218 2363321 942406 2698019
7192530,2646188 3117937 1523808 2136175 274694
108413,1549549 3290069 3549444 2374638 3362185
10470643,1852291 2543799 1935549 1201194 3340752
6701679,2354430 3559063 2788426 1518083 1932872
4472293,3175216 2985291 490152 3603787 1323726
1366641,2078374 2828659 3092079 427182 1704447
4107298,3102273 2121684 135927 3481372 692947
8942905,3290948 3445040 2422331 1920328 1265718
7947658,324120 692116 2421581 820502 1173126
8154951,3346647 2628153 462773 2443985 2252016
816773,1767784 2891021 3203871 2422331 500882
1322559,2836239 2784005 2309023 1364330 1742602
3706908,1104026 245683 2824933 1088972 3477555
3874174,1324832 1739003 3772577 1929011 2303861
4059069,2730916 1310789 3112888 1039316 3841458
11513495,3445040 2422331 950578 1920328 2308055
3986647,1030808 3081026 3725600 3323012 3076342
8764313,2308055 3550123 2289355 940299 2328263
2971209,3150033 2991078 320078 1343896 3782473
6014433,3102273 692947 500882 3445040 2422331
5595040,1134194 3207857 847495 447573 1741372
8603774,2293434 1972975 3456412 1044960 496847
7873897,2232169 2278870 2881408 2686375 2954174
2432287,341599 185651 1437351 356983 1764855
5233602,42805 1767226 1887656 1935536 1139169
8486347,2534771 3610115 680781 1246104 2234183
4703236,2288479 2448544 1883488 2491515 245683
4597972,1905089 73150 61653 223133 1076800
4242707,2783342 2495803 1903822 1189322 1056427
3126872,670593 3017596 2781973 1935863 432708
8150977,157831 2146015 3358631 170555 3464219
4671336,3030918 683193 1792704 133118 2464206
10978418,3520079 1571528 2186089 3001581 2741679
5929816,1343896 3150033 2991078 2510128 1081490
7417487,3309392 1178680 2289004 3383044 1103298
8591052,2422331 3445040 2308055 2610451 1920328
5465206,1227621 1103972 3853188 1691152 818165
8304869,2208614 1099668 446204 344000 3642547
4122340,1351737 3702593 374507 1678669 394253
6447596,3080659 106504 1904865 3207268 71417
10836215,3801835 2309023 3406706 3032397 2741789
3719936,1111698 162403 2289988 354186 3417898
2065623,21156 470749 2337876 2820062 1132420
8249664,315984 2460502 3702593 394253 1351737
11139177,3011927 160398 2690157 1517520 1412185
5598423,842541 107440 2490589 4899422 2583860
10985259,1349405 644382 3709740 448632 616834
7610669,3731326 1227698 153324 1224491 2322101
3242168,3445040 2422331 2610451 950578 2271077
5448425,1088946 2015559 3171591 2774371 3821743
4926159,260103 3107123 2522563 671592 2213826
10134627,3589233 2825397 2458643 2779654 593825
1760933,2954564 2237110 145626 3671801 220843
620237,2008442 461650 2353030 691604 229033
10360102,2214856 3484347 687284 2923989 2441486
3291754,857649 2819549 3357258 2311279 1253826
5624403,3603787 2246278 2552741 2645541 2051421
5396367,1406613 3735174 356786 2810325 1824880
11341158,1310789 1074579 731534 2730916 3705881
5636293,3105200 2552638 500046 726853 373219
7778733,2732766 3766716 2603356 3690363 2959123
10523578,900485 2803433 3759589 888097 443364
7312005,3669381 1800624 2841550 1082356 3140340
11558637,836176 2754266 3550133 142509 2261380
642791,1791261 603510 2722507 1907719 176421
3158922,1735655 1735234 2653271 2392060 2289975
7743903,2265874 2702981 726853 2527266 3846669
5070166,1911261 1337300 1790404 878334 495027
8025588,2970806 1517520 646455 109213 1978054
8249259,2645541 1503168 722514 2552741 2875760
10245367,3666749 890314 2628154 2422901 1090373
6322299,1076524 2216046 2307171 2472254 1721636
4685793,94140 3037685 531760 2710242 557502
8388312,3831317 1293917 3746441 1037579 2950531
7829217,3646256 433660 1822081 464515 3763359
