playlist_id,track_ids
10024884,2228906 56817 1637241 2044251 nan
10624787,3562008 194963 2781579 3779369 nan
4891851,1406862 205321 557629 2089117 nan
4267369,1712316 2504992 1890831 1689809 nan
65078,2123738 2913000 119305 1742595 nan
10637124,1120194 273502 2123901 2340644 nan
3223162,1133944 3248250 2710242 3057703 nan
7541503,2805304 661053 2086779 956454 nan
6189367,1054050 495158 1675280 2019507 nan
8459943,2752335 2214075 1654875 2222883 nan
10138804,1599699 3829453 3866159 1155458 nan
10562075,2909202 1570728 1308886 1390900 nan
10184821,190620 2810322 377629 321638 nan
4189678,1067122 2293472 1011111 3701185 nan
6299524,459618 874117 1831446 1527961 nan
8515028,1464766 910732 3456407 3884381 nan
10631638,1646238 1831605 3670757 360800 nan
10947423,2274205 2330141 1977730 3191588 nan
11295404,1495430 219919 3046022 830634 nan
3884714,1721660 2836366 2491418 3362015 nan
10680851,495027 2493661 1563133 465185 nan
3228268,3356950 1723907 3173841 2827998 nan
7850055,3426348 55646 3792600 1073547 nan
10864017,1730098 3410173 527767 1804337 nan
5660760,1337992 662991 3527614 1325599 nan
4157419,2293484 868728 722020 2807557 nan
3304833,2929285 2409997 1432964 1130644 nan
1911645,3872219 3075374 375980 644831 nan
4902536,80619 193133 3581227 1216683 nan
1140304,452096 1342462 3837471 2097871 nan
4310448,3746303 1517235 2500425 2182225 nan
4874293,1254297 892567 1433172 548902 nan
7541314,2582574 3722906 3754397 3844848 nan
8910289,1521556 3798368 498600 3030971 nan
11761351,1154985 2593261 1277654 3139062 nan
6611489,3329294 1097177 648543 465546 nan
5431593,1670797 463637 3107449 482539 nan
7772264,625811 619754 2866268 1604869 nan
5615774,1445150 3011493 3026954 1039120 nan
7698427,397585 2780018 1234333 1070526 nan
5903309,831263 1193281 225685 392319 nan
10032246,853428 459618 3156489 1685369 nan
6718882,3387155 3674267 340906 166563 nan
1072577,1110630 1897135 1119216 1485413 nan
5047826,1517163 2553913 3875971 248377 nan
5241540,2278040 2495673 2259255 3579080 nan
11056046,167785 353075 2263840 1283742 nan
713681,3859798 1619997 2684664 2606546 nan
10350609,661277 1786638 432100 657214 nan
7542080,3411474 3293124 2229472 665727 nan
7127454,3534173 486151 99265 2690160 nan
11192507,1731638 1251540 2765587 2012945 nan
11065937,3808909 2876 3389959 3850536 nan
4743330,2339664 690996 2618236 324385 nan
221395,2291351 3593816 2083310 1874467 nan
10985037,2804134 1671246 2730997 443489 nan
3755267,3067225 3579075 1297460 1255934 nan
7440845,2123623 802019 14013 489603 nan
8426989,727834 1502423 2557712 3616347 nan
82847,3613349 2440263 2712695 970234 nan
5963503,1232476 1903637 2950098 634081 nan
7809227,3580343 1262450 371905 3682161 nan
6544963,3700785 622085 3885344 2265459 nan
10178374,2728719 1844123 1284749 269871 nan
472200,525456 243683 1707918 1871417 nan
10688607,1826524 3604074 2235689 3159762 nan
7541732,2994856 2181022 715087 153371 nan
6751827,3298711 2467696 1422959 1769739 nan
4192208,1053320 2338259 594850 4437551 nan
8830133,1708008 1718295 3096118 1234098 nan
11635785,109392 2129593 2285795 260212 nan
4526137,3226020 3854358 2688909 2213883 nan
970740,2715652 305498 2684424 2768824 nan
5879343,426914 926026 3633836 678398 nan
5742191,1206961 2953189 1347472 3677227 nan
10356493,1857171 3861292 1489059 1999572 nan
10061153,1422964 3711451 1756002 2057815 nan
7096673,2175297 2217793 84223 1011090 nan
6890734,1675995 1584250 3329336 2413736 nan
4923978,944666 1409839 3379007 1251879 nan
3560810,2796799 3637050 3009867 2949470 nan
6646811,1735747 2127080 2973297 915407 nan
3827542,3137382 2590656 2816695 3031321 nan
3745410,709967 1648865 2726560 2173297 nan
3092546,1742077 3506962 1429267 2136835 nan
4160606,189446 674965 1916314 128422 nan
7839970,483364 1415897 3526666 245142 nan
4904789,1750482 498709 2260616 1198228 nan
7192530,903816 274694 3024495 1867366 nan
108413,2042272 1367905 1337682 2267336 nan
10470643,1695551 3063654 1732290 2213883 nan
6701679,3841971 1795792 463217 3584912 nan
4472293,716439 384313 2522101 3718993 nan
1366641,2920165 723025 3844120 623398 nan
4107298,1792704 1739102 2891892 3892502 nan
8942905,1791420 1336495 963948 2028007 nan
7947658,820502 324120 2421581 692116 nan
8154951,2628153 462773 3346647 2746873 nan
816773,1736584 3158501 1355848 817123 nan
1322559,233386 2136509 2565868 2882802 nan
3706908,2800306 1735706 2610852 1104026 nan
3874174,3105123 1739003 2175086 2881098 nan
4059069,2715138 1209729 2815754 3841458 nan
11513495,1832765 1438349 681340 228977 nan
3986647,2591614 294981 2136835 3789864 nan
8764313,2552070 180962 3409856 2104746 nan
2971209,730778 1749143 3021647 3783709 nan
6014433,2214946 1559609 2053848 3611545 nan
5595040,3207857 1584177 2709736 2984200 nan
8603774,2100416 343540 2293434 286393 nan
7873897,88454 2578758 1348258 635001 nan
2432287,2891097 3603373 3628954 1690838 nan
5233602,1155458 3829453 2759947 1887656 nan
8486347,2942830 2172361 3749967 3454662 nan
4703236,245683 4634615 2795926 2491515 nan
4597972,1156133 1727507 3016468 1871594 nan
4242707,3550483 3333612 1052309 1824433 nan
3126872,2281941 1475064 2678756 2704288 nan
8150977,545167 562798 2721264 3642012 nan
4671336,2864438 819099 3659077 1985321 nan
10978418,2278328 3251795 1077338 1296528 nan
5929816,941031 1803682 1850609 685788 nan
7417487,3309392 2256638 2695599 3082957 nan
8591052,2072762 3138380 3291419 2941476 nan
5465206,1952327 818165 1596580 71393 nan
8304869,344000 2208614 3642547 1099668 nan
4122340,3791251 3584845 2524196 3044850 nan
6447596,1819246 2374774 2186970 268245 nan
10836215,1935533 1352486 1547298 2697144 nan
3719936,672419 856610 2969116 1660062 nan
2065623,243367 1158146 1523187 1842225 nan
8249664,1343363 2009133 303686 3042267 nan
11139177,3284528 3666106 3562654 4500 nan
5598423,1553976 992710 3639589 1394353 nan
10985259,2136686 2266526 892726 1700380 nan
7610669,1227698 3731326 1299780 1881133 nan
3242168,2998479 3067400 1960262 1898633 nan
5448425,3324655 3364403 473078 4902632 nan
4926159,1083691 2653967 671592 949532 nan
10134627,1299019 1200959 2380535 1681669 nan
1760933,70847 3663970 1738326 76398 nan
620237,2556891 1589114 573465 1842789 nan
10360102,1344213 1506597 3484347 2214856 nan
3291754,2320105 329535 1134602 259990 nan
5624403,3098920 2295002 2643080 3824410 nan
5396367,436523 2768079 1532333 1406613 nan
11341158,3303526 2567908 2267802 3440644 nan
5636293,1943011 2308039 2214703 330829 nan
7778733,908547 513712 1495449 2129584 nan
10523578,2576996 2958861 2234524 950564 nan
7312005,3464018 350132 2859052 1550729 nan
