playlist_id,track_ids
10024884,2044251 1637241 56817 2228906 1565351
10624787,3779369 2781579 194963 3562008 1980691
4891851,2089117 557629 205321 1406862 1371741
4267369,1689809 1890831 2504992 1712316 2740798
65078,1742595 119305 2913000 2123738 1492640
10637124,2340644 2123901 273502 1120194 3493371
3223162,3057703 2710242 3248250 1133944 2376478
7541503,956454 2086779 661053 2805304 585705
6189367,2019507 1675280 495158 1054050 1195554
8459943,2222883 1654875 2214075 2752335 1732579
10138804,1155458 3866159 3829453 1599699 1887656
10562075,1390900 1308886 1570728 2909202 1210562
10184821,321638 377629 2810322 190620 1210855
4189678,3701185 1011111 2293472 1067122 2181022
6299524,1527961 1831446 874117 459618 3156489
8515028,3884381 3456407 910732 1464766 1767226
10631638,360800 3670757 1831605 1646238 2137067
10947423,3191588 1977730 2330141 2274205 134529
11295404,830634 3046022 219919 1495430 1678111
3884714,3362015 2491418 2836366 1721660 404394
10680851,465185 1563133 2493661 495027 3349944
3228268,2827998 3173841 1723907 3356950 680666
7850055,1073547 3792600 55646 3426348 3019845
10864017,1804337 527767 3410173 1730098 2303888
5660760,1325599 3527614 662991 1337992 2110917
4157419,2807557 722020 868728 2293484 3534170
3304833,1130644 1432964 2409997 2929285 648467
1911645,644831 375980 3075374 3872219 911131
4902536,1216683 3581227 193133 80619 3794784
1140304,2097871 3837471 1342462 452096 1121990
4310448,2182225 2500425 1517235 3746303 186788
4874293,548902 1433172 892567 1254297 3321806
7541314,3844848 3754397 3722906 2582574 1932259
8910289,3030971 498600 3798368 1521556 1181285
11761351,3139062 1277654 2593261 1154985 2805481
6611489,465546 648543 1097177 3329294 3614307
5431593,482539 3107449 463637 1670797 1163557
7772264,1604869 2866268 619754 625811 339808
5615774,1039120 3026954 3011493 1445150 3186611
7698427,1070526 1234333 2780018 397585 523394
5903309,392319 225685 1193281 831263 74657
10032246,1685369 3156489 459618 853428 2586512
6718882,166563 340906 3674267 3387155 917119
1072577,1485413 1119216 1897135 1110630 3354062
5047826,248377 3875971 2553913 1517163 1181285
5241540,3579080 2259255 2495673 2278040 3609863
11056046,1283742 2263840 353075 167785 1177937
713681,2606546 2684664 1619997 3859798 60127
10350609,657214 432100 1786638 661277 1280493
7542080,665727 2229472 3293124 3411474 2989791
7127454,2690160 99265 486151 3534173 1117747
